Repository,Forks,Total Issues,Closed Issues,Open PRs,Closed PRs,Merged PRs,Total Commits,Max Days Without Commit,Most Active Dev Commits,Contributors,Owner Projects,Owner Commits,Archived
wdullaer/MaterialDateTimePicker,949,756,645,26,136,45,473,310,313,35,0,387,Active
jenssegers/laravel-mongodb,1425,2977,2843,7,1056,732,1893,479,665,174,0,0,Active
brigade/scss-lint,466,1007,940,0,333,118,1273,407,834,109,0,596,Active
qutebrowser/qutebrowser,1008,7760,6545,96,2137,1714,25190,758,18169,345,0,0,Active
GetmeUK/ContentTools,395,584,483,6,59,37,354,503,305,27,0,0,Active
insin/nwb,331,583,414,18,64,39,1167,784,1114,33,0,1123,Active
spatie/laravel-permission,1767,2177,2167,5,767,493,1692,181,811,205,0,0,Active
twitter/heron,597,3827,3417,35,2739,2440,3308,82,543,112,11,0,Active
JeffreySu/WeiXinMPSDK,4345,3077,2865,0,2082,1844,10644,40,4511,134,0,9191,Active
cockpit-project/cockpit,1099,20592,20152,48,14854,8920,22021,848,4767,195,0,0,Active
typelift/Swiftz,233,344,332,3,222,203,1152,341,720,41,0,0,Active
catfan/Medoo,1152,1096,1045,15,211,19,679,351,422,15,0,468,Active
sachinchoolur/lightGallery,1282,1545,1503,4,200,114,1180,541,754,61,0,980,Active
kangax/html-minifier,572,1148,1043,23,369,304,1291,909,364,76,0,388,Active
TykTechnologies/tyk,1082,6620,6295,167,4475,3686,4799,171,1113,100,0,0,Active
mqttjs/MQTT.js,1415,1876,1832,7,674,527,1659,276,570,196,0,0,Active
graphql-python/graphene,823,1562,1453,17,549,405,1779,222,1115,176,1,0,Active
grommet/grommet,1027,7342,7012,31,3876,3350,6848,29,1937,341,1,0,Active
aws/aws-sdk-php,1219,2931,2884,22,1364,1109,7672,133,2831,191,0,0,Active
socketio/socket.io-client-swift,844,1497,1257,10,227,154,1777,382,1084,46,0,0,Active
acdlite/flux-standard-action,142,145,130,3,101,35,104,539,43,18,0,0,Active
basho/riak,536,1096,942,12,590,477,3227,296,493,78,0,0,Active
AnalyticalGraphicsInc/cesium,3464,12174,10770,27,6224,5473,40906,1851,5220,298,1,0,Active
NLog/NLog,1374,5575,5504,0,2871,2402,6840,578,2202,182,1,0,Active
directus/directus,3835,17149,16622,25,8559,7481,12330,30,3154,432,0,0,Active
coreos/flannel,2871,2078,2042,7,956,745,1644,773,259,217,0,0,Active
cwRichardKim/RKNotificationHub,326,39,36,0,14,12,132,334,51,11,0,93,Active
heroku/react-refetch,140,270,219,17,117,90,648,441,292,65,0,0,Active
OfficeDev/office-ui-fabric-core,465,1275,1191,10,613,528,2427,488,783,61,0,0,Active
Tencent/GT,1027,94,25,2,3,3,74,313,34,5,0,0,Active
emberjs/data,1330,9515,9423,35,6472,5000,9170,417,1256,338,1,0,Active
thoughtbot/clearance,457,1031,998,7,559,368,1637,1164,452,155,0,0,Active
emqtt/emqttd,2227,13219,13010,46,9181,8201,23746,287,2513,126,0,0,Active
tonsky/datascript,305,477,400,9,153,88,775,477,596,68,0,596,Active
docker/docker-py,1668,3280,2791,79,1548,1164,3410,1281,1713,385,2,0,Active
RNCryptor/RNCryptor,519,308,300,1,59,42,557,884,480,28,0,0,Active
garris/BackstopJS,602,1584,1032,55,447,340,1588,113,481,159,0,1190,Active
picocms/Pico,614,700,686,4,165,81,901,188,707,36,0,17,Active
asciimoo/searx,1708,3204,2865,38,1441,1152,4583,1614,1239,159,0,0,Active
phan/phan,359,4881,3933,12,2099,2026,7276,1117,5361,107,0,0,Active
Studio-42/elFinder,1415,3468,3459,2,567,429,6877,609,4628,169,0,0,Active
nicolaskruchten/pivottable,1077,1359,977,18,107,52,771,1470,684,35,0,684,Active
mapbox/mapbox-gl-js,2216,13209,11924,32,5450,4624,11688,565,1621,348,0,0,Active
hybridauth/hybridauth,1126,1412,1326,20,637,538,1730,495,286,224,0,0,Active
adnanh/webhook,828,653,549,23,215,171,533,190,220,50,0,329,Active
Quick/Nimble,602,1142,1110,6,680,594,1947,772,482,116,0,0,Active
matrix-org/synapse,2128,16616,15086,65,9988,8988,23441,736,7432,376,1,0,Active
googlevr/gvr-android-sdk,1283,642,583,1,17,0,61,217,38,8,0,0,Active
tsuru/tsuru,525,2727,2705,15,1193,1085,15761,169,5017,119,0,0,Active
JrCs/docker-letsencrypt-nginx-proxy-companion,823,1028,979,7,353,275,781,686,521,72,0,0,Active
OpenKinect/libfreenect,1149,690,548,13,297,94,735,847,171,71,0,0,Active
stampit-org/stampit,102,357,351,0,162,130,666,278,217,32,0,0,Active
chrismiles/CMPopTipView,466,138,106,9,67,45,206,461,95,31,0,93,Active
nteract/hydrogen,334,2154,1973,11,870,723,2371,240,650,78,9,0,Active
kean/Nuke,528,779,759,2,282,242,3223,181,2567,74,0,3048,Active
jazzband/pip-tools,612,2094,1900,29,994,806,2175,671,488,186,2,0,Active
fengyuanchen/viewerjs,1237,607,568,7,63,24,511,183,363,19,0,417,Active
aws/aws-sdk-ruby,1225,3062,3038,6,1438,1160,7540,364,3429,207,0,0,Active
danklammer/bytesize-icons,229,36,30,2,10,7,146,332,137,7,0,137,Active
google/closure-library,1045,1239,1239,0,576,244,10301,636,1245,134,0,0,Active
ecomfe/zrender,1561,1095,741,38,456,392,2768,89,614,48,0,0,Active
IdentityServer/IdentityServer4,4021,5470,5470,0,932,692,3280,596,1714,273,0,0,Active
css/csso,188,478,380,3,86,65,1088,321,606,43,0,0,Active
gorhill/uMatrix,473,1011,945,4,68,41,1610,472,757,33,0,1263,Active
api-platform/api-platform,960,2566,1922,10,545,424,810,116,468,95,3,0,Active
kbengine/kbengine,2329,1436,1263,8,392,306,6641,89,5097,31,0,3815,Active
Financial-Times/polyfill-service,741,2734,2706,6,1845,1512,4182,166,1552,166,0,5,Active
centrifugal/centrifugo,593,886,862,4,416,346,1690,73,769,38,0,0,Active
Behat/Behat,608,1475,1364,25,546,370,3131,635,1583,142,0,0,Active
bshaffer/oauth2-server-php,953,1066,788,27,353,222,947,1232,661,76,0,659,Active
diesel-rs/diesel,1063,3665,3519,40,2035,1708,6384,771,1974,358,0,0,Active
Skyscanner/SkyFloatingLabelTextField,542,349,265,14,126,83,499,258,164,43,0,0,Active
asaskevich/govalidator,554,498,332,58,196,163,590,547,325,89,0,296,Active
sindresorhus/got,934,2151,2030,0,692,533,1522,86,466,187,0,447,Active
ArtSabintsev/Harpy,306,95,95,0,95,52,410,96,301,34,0,345,Active
Hacker0x01/react-datepicker,2241,5066,4757,11,2757,2058,5117,48,2333,401,0,0,Active
mrclay/minify,472,713,655,0,161,103,795,472,456,36,0,456,Active
siddontang/ledisdb,434,413,412,1,96,72,954,393,673,22,0,0,Active
owncloud/android,3053,4476,4182,17,2036,1522,12974,791,1974,94,2,0,Active
clientIO/joint,852,2127,2092,5,1381,1260,1712,175,794,80,0,0,Active
hyperoslo/Hue,223,76,74,0,55,48,231,380,129,26,0,73,Active
roundcube/roundcubemail,1635,9643,9238,58,1142,669,13229,1317,6180,265,0,0,Active
noflo/noflo,262,1050,1008,10,748,347,2707,866,1984,26,0,0,Active
521dimensions/amplitudejs,425,435,361,12,53,40,482,259,214,26,0,0,Active
ArtSabintsev/Siren,407,424,423,0,150,109,923,238,719,54,0,774,Active
aseprite/aseprite,5934,4617,3000,29,738,287,9672,833,8849,113,0,0,Active
inversify/InversifyJS,714,1549,1253,15,652,510,1483,194,397,107,0,0,Active
fex-team/fis3,694,1332,813,19,94,73,1458,611,595,42,0,0,Active
google/benchmark,1620,1835,1676,10,1081,845,1567,146,374,303,0,0,Active
Ereza/CustomActivityOnCrash,543,99,92,1,21,9,112,821,98,7,0,90,Active
golemfactory/golem,4,3,1,0,0,0,4,0,2,2,2,0,Active
phw/peek,319,1327,616,4,105,89,1428,727,890,126,0,889,Active
szwacz/electron-boilerplate,490,313,310,2,105,64,447,367,326,41,0,326,Active
andersao/l5-repository,876,804,555,22,290,167,488,365,167,88,0,161,Active
kubernetes/dashboard,4151,9452,9312,21,6524,4765,5468,70,1446,361,31,0,Active
micha/resty,143,95,77,6,22,17,393,763,180,14,0,180,Active
react-native-community/react-native-svg,1122,2468,2313,28,761,562,2079,483,920,201,0,0,Active
fibjs/fibjs,300,788,752,0,511,413,6577,89,3641,30,0,0,Active
laravel/homestead,1448,1985,1972,5,1087,747,1310,90,391,245,0,0,Active
getsentry/raven-js,1561,13236,12746,63,7720,6660,10335,673,1111,418,3,0,Active
FreeRDP/FreeRDP,14798,10270,9955,16,5811,5231,19880,889,4840,314,0,0,Active
neon-bindings/neon,284,1080,974,13,503,403,1938,398,520,68,0,0,Active
Project-OSRM/osrm-backend,3367,6989,6558,27,2396,1920,8693,772,2702,157,0,0,Active
owner888/phpspider,1177,169,46,13,6,2,387,578,279,3,0,240,Active
apiaryio/dredd,279,2295,2036,49,1461,832,3310,471,1655,74,1,0,Active
giggsey/libphonenumber-for-php,466,657,655,0,350,306,1112,119,875,60,0,880,Active
phalcon/zephir,466,2373,2265,4,1182,1027,6043,2025,1256,82,0,0,Active
Dash-Industry-Forum/dash.js,1677,4486,4354,13,2226,1973,6719,230,1124,173,0,0,Active
SeleniumHQ/docker-selenium,2509,2402,2359,3,896,702,1712,188,532,182,0,0,Active
phpro/grumphp,429,1116,1097,9,641,537,2117,214,1158,182,0,0,Active
googlevr/gvr-unity-sdk,1090,1064,1004,1,34,0,61,113,19,7,0,0,Active
sqlectron/sqlectron-gui,524,731,578,2,266,239,1062,646,659,38,0,0,Active
hickford/MechanicalSoup,376,440,397,11,255,213,647,586,220,46,0,0,Active
froala/wysiwyg-editor,672,4808,3692,38,64,2,3177,105,2407,15,0,0,Active
jhnns/rewire,127,214,162,3,54,32,324,686,167,23,0,276,Active
maximebf/php-debugbar,402,687,564,12,426,357,748,213,221,136,0,216,Active
sschmid/Entitas-CSharp,1109,1078,978,2,120,84,2437,1050,2363,24,0,2363,Active
jflesch/paperwork,149,783,643,0,103,87,3266,103,2937,38,0,0,Active
honestbleeps/Reddit-Enhancement-Suite,879,5487,4820,72,3253,2811,10194,557,1947,283,0,1509,Active
termux/termux-app,3727,3104,2718,43,387,159,1467,723,593,75,0,0,Active
devxoul/Then,291,99,86,6,50,32,149,513,106,16,0,120,Active
star7th/showdoc,2187,2269,1958,3,97,64,1589,56,1498,31,0,1297,Active
3lvis/Sync,263,596,585,2,297,240,1764,1191,1475,28,0,1407,Active
dlew/joda-time-android,183,349,346,0,184,176,530,256,328,16,0,503,Active
qmk/qmk_firmware,39030,24445,23820,326,20931,16608,27978,732,5023,388,0,0,Active
mikepenz/FastAdapter,494,1046,1037,2,253,223,1913,217,1429,50,0,1429,Active
dokan-dev/dokany,666,1149,1055,5,244,175,1692,619,730,59,0,0,Active
wbotelhos/raty,650,252,195,6,59,37,721,2157,609,31,0,646,Active
nopSolutions/nopCommerce,5302,7330,7213,21,991,403,14920,611,3554,176,0,0,Active
aspnet/KestrelHttpServer,528,3000,3000,0,1542,1153,2219,147,491,78,1,0,Active
ueberauth/guardian,380,734,733,0,409,352,508,291,180,154,0,0,Active
emacs-helm/helm,390,2638,2632,0,628,475,12368,162,9741,164,0,0,Active
dmfay/massive-js,159,679,668,5,323,285,1126,266,603,68,0,580,Active
PrismLibrary/Prism,1643,2771,2730,6,944,766,3456,495,1280,130,0,0,Active
iron-io/functions,226,702,608,9,386,329,904,789,173,32,0,0,Active
pornel/pngquant,483,420,367,0,70,52,1206,1826,414,43,0,1098,Active
RichardKnop/machinery,915,821,581,30,337,277,1056,571,651,106,0,642,Active
mizzy/serverspec,369,515,515,0,515,449,1905,328,1427,103,0,1416,Active
hhatto/autopep8,290,769,644,5,257,211,2942,470,1003,51,0,667,Active
TimOliver/TOCropViewController,938,587,492,5,196,160,919,251,661,85,0,655,Active
WebAssembly/binaryen,740,6957,6255,150,5390,5054,7407,23,4489,171,0,0,Active
VirusTotal/yara,1439,2087,1911,23,1001,809,3192,382,1842,195,0,0,Active
go-swagger/go-swagger,1251,3087,2493,20,1119,975,3136,1188,1935,282,0,0,Active
jpillora/chisel,1349,530,299,47,154,48,239,359,124,37,0,124,Active
PHP-FFMpeg/PHP-FFMpeg,885,925,609,35,213,152,679,388,315,63,0,0,Active
buttercup/buttercup-desktop,331,1338,1188,0,467,436,2567,137,1137,88,0,0,Active
oliviertassinari/react-swipeable-views,480,685,602,8,278,197,600,267,487,60,0,441,Active
frida/frida,1645,2924,1292,2,132,106,4323,271,4176,39,0,0,Active
mikepenz/AboutLibraries,420,1000,992,1,546,499,2375,364,1959,118,0,1958,Active
shogun-toolbox/shogun,1038,5177,4750,10,3639,2939,17589,1106,4338,177,0,0,Active
ngx-translate/core,574,1453,968,33,209,124,461,547,312,94,0,0,Active
stuyam/pressure,97,110,88,8,31,28,279,649,255,8,0,263,Active
mapnik/mapnik,826,4474,3752,49,845,730,13994,979,6153,91,0,0,Active
google/shaka-player,1334,7385,7295,4,2815,2454,6208,271,2267,235,0,0,Active
cryptomator/cryptomator,1016,2717,2453,10,515,377,5431,190,2638,55,0,0,Active
ThingEngineer/PHP-MySQLi-Database-Class,1343,1025,800,27,241,169,573,699,380,59,0,43,Active
ruslanskorb/RSKImageCropper,470,255,254,0,89,62,417,223,383,14,0,383,Active
meandmax/lory,244,794,751,25,625,292,783,105,489,26,0,0,Active
ppwwyyxx/tensorpack,1810,1561,1548,1,205,151,2944,205,2738,51,0,0,Active
kpumuk/meta-tags,275,315,300,2,191,126,635,690,514,49,0,514,Active
streamlink/streamlink,1109,5713,5645,6,2804,2532,5316,504,1581,267,0,0,Active
Netflix/ribbon,1238,517,300,40,221,189,904,448,370,39,0,0,Active
vitalets/angular-xeditable,403,786,674,9,168,108,561,693,271,40,0,103,Active
phpseclib/phpseclib,890,2016,1790,17,888,556,5496,250,3804,138,0,0,Active
mongodb/mongo-java-driver,1478,1527,1512,15,1512,960,8455,794,4270,168,0,0,Active
junit-team/junit5,1482,3962,3827,21,1641,1030,8559,353,3017,222,0,0,Active
CMB2/CMB2,571,1513,1241,32,375,217,2814,635,2133,110,0,0,Active
jenssegers/agent,474,214,133,6,59,36,204,143,155,23,0,126,Active
snabbco/snabb,300,1527,1323,27,1123,845,10332,1568,2219,67,0,0,Active
raphw/byte-buddy,805,1686,1658,0,246,185,7244,37,6294,90,0,5247,Active
spatie/laravel-medialibrary,1072,2797,2785,5,1067,697,2506,70,899,345,0,0,Active
webonyx/graphql-php,562,1522,1468,16,961,823,2022,367,532,126,0,0,Active
spotify/helios,234,1304,1287,14,1143,955,2458,1540,680,47,1,0,Active
kubernetes/heapster,1251,2111,2111,0,1287,1083,2485,285,380,156,0,0,Active
mRemoteNG/mRemoteNG,1405,2612,1763,0,473,389,5269,702,2062,98,0,0,Active
ninject/Ninject,531,404,314,7,110,88,837,1111,227,29,0,0,Active
louthy/language-ext,418,1148,1093,2,362,278,3589,503,2660,81,0,2154,Active
collectd/collectd,1230,4327,3567,180,2311,1498,11982,2015,4770,314,0,0,Active
bitpay/copay,54,1,1,0,1,0,7,3,7,1,0,0,Active
elastic/curator,636,1727,1606,9,783,681,1704,630,1375,120,15,0,Active
javiereguiluz/EasyAdminBundle,1,2,1,1,1,0,5449,282,4274,337,0,4274,Active
itinance/react-native-fs,978,1233,614,68,292,211,807,226,257,151,0,270,Active
jcubic/jquery.terminal,568,949,872,0,90,52,3518,79,3382,39,0,3418,Active
astrada/google-drive-ocamlfuse,354,886,638,3,25,23,680,677,653,19,0,656,Active
longitachi/ZLPhotoBrowser,968,937,897,0,72,46,784,77,624,24,0,691,Active
videojs/videojs-contrib-hls,792,1431,1431,0,662,421,1491,250,641,55,0,0,Active
nameko/nameko,470,781,688,27,486,410,2599,435,1227,38,0,0,Active
samratashok/nishang,2440,98,76,6,33,20,339,558,204,11,0,312,Active
davidkpiano/react-redux-form,252,1227,1043,15,317,199,1701,130,1370,90,0,1370,Active
tarantool/tarantool,379,10418,9048,83,3075,2495,18762,1421,3687,152,0,0,Active
moneyphp/money,441,798,791,5,455,287,878,586,268,85,0,0,Active
NorthwoodsSoftware/GoJS,2860,214,213,0,51,26,419,76,214,11,0,0,Active
ReactiveCocoa/ReactiveSwift,432,882,864,5,589,472,8745,410,2495,222,0,0,Active
graphql-dotnet/graphql-dotnet,922,4015,3900,24,2234,1846,2498,262,601,159,0,0,Active
actionhero/actionhero,260,2848,2821,21,2118,1736,5360,36,3697,102,1,0,Active
drush-ops/drush,1082,6134,5698,55,2929,2142,8756,678,3715,314,0,0,Active
laracasts/Laravel-5-Generators-Extended,347,206,175,16,72,38,171,492,71,25,0,0,Active
jarun/Buku,294,765,743,1,362,313,2106,249,1309,69,0,1427,Active
nutzam/nutz,942,1612,1549,10,264,204,6285,337,1686,68,0,0,Active
sheerun/vim-polyglot,298,852,756,17,257,56,890,167,814,47,0,814,Active
Zewo/Zewo,88,262,262,0,90,67,460,712,345,29,0,0,Active
postcss/postcss-loader,211,695,694,0,319,274,585,381,211,83,0,0,Active
DamnWidget/anaconda,260,941,757,6,140,120,994,311,655,69,0,783,Active
CorsixTH/CorsixTH,365,2594,2356,17,1322,1091,4611,1071,1221,98,0,0,Active
Microsoft/ELL,295,262,229,3,44,13,3771,336,1280,19,8,0,Active
espressif/esptool,1375,1018,987,1,187,81,1264,924,458,112,0,0,Active
pwittchen/ReactiveNetwork,274,471,434,2,203,182,734,837,648,10,0,218,Active
mit-nlp/MITIE,535,215,198,0,25,21,5158,505,4763,22,0,0,Active
htacg/tidy-html5,418,1122,923,16,297,218,1728,1571,747,78,0,0,Active
qTox/qTox,1043,6647,6037,28,3089,2561,8298,1032,909,244,0,0,Active
netguru/ResponseDetective,92,71,60,2,26,20,414,397,355,7,0,0,Active
jwilder/dockerize,414,209,154,15,84,62,192,496,114,40,0,114,Active
hyperhq/hyperd,194,749,699,1,461,408,1200,238,224,28,0,0,Active
jMonkeyEngine/jmonkeyengine,1122,2285,2053,34,1244,1026,7962,543,1442,149,0,0,Active
PHPSocialNetwork/phpfastcache,451,891,887,2,414,393,2014,232,1096,62,0,0,Active
GoogleCloudPlatform/google-cloud-node,592,5704,5576,7,3759,3205,24583,167,4355,244,3,0,Active
FriendsOfSymfony/FOSRestBundle,703,2410,2254,12,1269,983,3400,760,1086,275,0,0,Active
SixLabors/ImageSharp,852,2202,2157,9,1273,1157,13517,379,4822,160,0,0,Active
mysticatea/npm-run-all,240,258,151,13,51,27,267,201,237,21,0,237,Active
Qihoo360/pika,1192,2788,2739,11,1524,1241,2122,923,280,126,0,0,Active
remiprev/her,323,551,434,28,230,128,919,591,346,71,0,498,Active
vitaly-t/pg-promise,217,866,865,0,139,109,2658,189,2581,33,0,2511,Active
vector-im/riot-web,1982,26549,23160,23,3333,2911,14145,196,2364,340,1,0,Active
pritunl/pritunl,607,130,126,4,126,52,14293,50,14229,30,0,0,Active
inikulin/parse5,232,1299,1267,6,962,834,1477,426,695,34,0,531,Active
infobyte/faraday,915,500,450,11,60,21,12621,262,1675,40,0,0,Active
Clipy/Clipy,633,538,297,18,145,132,470,744,291,16,0,0,Active
lanayotech/vagrant-manager,84,190,171,1,9,5,353,389,214,9,0,0,Active
MediaBrowser/Emby,805,3847,3716,8,2072,1803,15005,148,11104,113,0,0,Active
coleifer/huey,370,816,816,0,179,81,1005,257,888,52,0,791,Active
roots/trellis,609,1541,1517,7,977,805,1900,1108,1001,116,0,0,Active
kimmobrunfeldt/concurrently,0,0,0,0,0,0,4,0,4,1,0,4,Active
PaulLeCam/react-leaflet,885,1136,1107,2,275,147,595,427,431,107,0,429,Active
LWJGL/lwjgl3,635,976,891,2,171,117,4085,595,3785,45,0,0,Active
convox/rack,179,2582,2570,12,2570,999,8396,150,4124,87,0,0,Active
nanoc/nanoc,242,1678,1658,0,1029,848,7347,252,6953,89,0,0,Active
pytransitions/transitions,529,669,658,3,205,174,1100,613,699,62,0,0,Active
gotev/android-upload-service,690,666,662,1,90,51,806,310,732,24,0,637,Active
ionic-team/ionic-native,2424,4807,4795,5,2504,2124,4631,114,592,416,0,805,Active
sonata-project/SonataAdminBundle,1260,8140,8119,7,5439,4199,8290,891,1349,333,0,0,Active
mlaursen/react-md,300,1462,1415,0,740,425,5201,277,4578,67,0,4814,Active
mar10/fancytree,603,1148,1147,1,192,117,1885,255,834,48,0,1704,Active
ruflin/Elastica,733,2209,2087,15,1500,1315,3429,213,817,284,0,1357,Active
slackapi/node-slack-sdk,662,2069,2033,10,1142,967,2523,377,741,167,0,0,Active
btraceio/btrace,959,679,677,1,246,196,1530,370,706,24,0,0,Active
hkellaway/Gloss,142,367,367,0,229,198,705,305,392,27,0,18,Active
jasonlong/isometric-contributions,163,320,320,0,223,207,679,253,489,23,0,270,Active
deanoemcke/thegreatsuspender,906,1366,974,17,113,77,1536,431,1072,39,0,2,Active
erikdoe/ocmock,606,541,496,22,286,179,1141,674,855,61,0,852,Active
TwidereProject/Twidere-Android,377,1477,1142,3,144,101,3232,563,2791,37,0,0,Active
mcamara/laravel-localization,515,911,829,14,253,194,538,214,246,108,0,10,Active
reactjs/react-docgen,296,934,823,14,581,468,2284,518,1131,75,0,0,Active
Lone-Coder/letsencrypt-win-simple,816,2336,2302,8,375,305,3046,305,1495,93,0,0,Active
canjs/canjs,421,5514,5202,13,3354,1852,11238,406,2447,163,0,0,Active
lj2007331/lnmp,765,27,27,0,27,5,781,171,616,6,0,380,Active
bustoutsolutions/siesta,159,317,290,7,132,124,1320,593,1224,23,0,0,Active
FrDH/jQuery.dotdotdot,339,66,65,1,65,37,170,262,65,27,0,0,Active
hacdias/filemanager,2998,3129,3043,10,736,512,2526,311,1595,171,0,0,Active
go-playground/validator,1320,1280,951,74,507,415,1060,170,512,192,0,0,Active
ai/visibilityjs,108,52,49,0,26,22,272,1959,143,18,0,246,Active
Automattic/simplenote-electron,558,3228,3014,14,1643,1431,2119,794,269,72,4,0,Active
mgechev/codelyzer,233,1041,959,48,403,354,997,65,479,53,0,597,Active
Netflix/archaius,485,714,676,8,489,421,752,377,351,29,0,0,Active
hadley/devtools,758,2529,2496,5,716,481,3491,345,1203,150,0,0,Active
quantmind/pulsar,162,321,292,1,68,44,2435,117,1304,18,0,0,Active
vispy/vispy,617,2627,2263,40,1148,977,7401,1078,1218,163,1,0,Active
1N3/Sn1per,1841,390,383,3,53,38,609,154,162,25,0,159,Active
nelmio/alice,329,1221,1174,1,715,626,1042,217,418,131,0,0,Active
alignedleft/d3-book,1790,52,36,2,14,0,123,609,123,1,0,16,Active
facelessuser/BracketHighlighter,245,632,622,1,137,113,878,311,527,51,0,724,Active
Polidea/RxAndroidBle,583,861,801,4,260,224,1007,186,608,43,0,615,Active
rom-rb/rom,161,687,658,3,360,309,5174,490,3461,81,1,0,Active
WebGoat/WebGoat,5431,1887,1826,16,1172,656,3010,245,884,105,0,0,Active
openstreetmap/iD,1206,10287,9009,96,2875,1980,15828,619,4511,337,0,0,Active
aspnet/Identity,868,1962,1962,0,662,371,1255,118,360,86,1,0,Active
pika/pika,843,1444,1404,7,596,456,2520,715,1077,166,0,0,Active
mozilla/MozDef,328,1723,1723,0,1332,1191,5995,253,2217,35,12,0,Active
nabla-c0d3/sslyze,450,665,630,9,134,89,1883,275,1483,58,0,1750,Active
igniterealtime/Openfire,1365,2555,2533,22,2533,2267,11306,543,2374,139,0,0,Active
stripe/stripe-php,850,1761,1746,4,1197,1010,2360,278,416,173,0,0,Active
tdebatty/java-string-similarity,412,66,53,1,21,17,245,384,193,13,0,204,Active
w3c/web-platform-tests,3086,47661,45353,958,43282,38413,62801,3695,3053,332,0,0,Active
thephpleague/csv,333,540,538,0,223,184,1533,123,785,61,0,0,Active
liferay/alloy-ui,675,169,168,1,88,30,5396,1242,1711,66,0,0,Active
ermouth/jQuery.my,114,56,54,0,5,3,81,660,79,3,0,79,Active
cesanta/mongoose-os,430,613,521,8,96,50,4740,163,1685,36,0,0,Active
gruntjs/grunt-contrib-uglify,348,583,556,3,187,105,379,482,57,55,0,0,Active
kriswallsmith/Buzz,250,432,423,1,298,212,511,773,248,52,0,248,Active
octokit/octokit.net,1074,2844,2793,6,1593,1332,5135,331,1230,272,0,0,Active
swagger-api/swagger-js,760,3679,3627,5,2762,2299,4236,66,1535,200,0,0,Active
M66B/NetGuard,215,258,258,0,258,187,3874,154,3430,32,0,3632,Active
codeclimate/codeclimate,247,1126,1053,11,866,756,1398,303,251,63,0,0,Active
Microsoft/vscode-react-native,266,2189,2178,1,1242,1130,1993,54,296,70,8,0,Active
rap2hpoutre/laravel-log-viewer,373,303,255,9,124,77,230,398,61,55,0,146,Active
GovernmentCommunicationsHeadquarters/Gaffer,350,3301,3162,7,1703,1406,7288,52,3130,66,0,0,Active
cloudfoundry/bosh,657,2559,2539,6,1219,709,20687,528,1359,153,7,0,Active
lyst/lightfm,693,711,554,12,196,168,483,278,247,33,0,0,Active
mltframework/shotcut,1126,1588,1534,2,385,306,6369,164,5389,57,0,0,Active
nana-4/materia-theme,255,629,528,0,103,78,1652,507,1508,30,0,1568,Active
preciousforever/sketch-data-populator,113,284,260,9,64,53,456,594,238,14,0,0,Active
phpspec/phpspec,277,1476,1340,7,846,645,3253,1009,1372,137,0,0,Active
reactjs/React.NET,934,1340,1235,55,624,447,1067,216,424,67,0,0,Active
